ux,uy,uz
-2.361375276363430592e-36,-1.082555054218647735e-35,2.000000000000000000e+01
-1.561551662525179743e-36,-2.000000000000000000e+01,2.000000000000000000e+01
-2.040454724336903712e-36,-2.000000000000000000e+01,1.254639560863123005e-35
-2.021044185740402150e-36,-1.562963485328858532e-35,3.188969645964501635e-36
0.000000000000000000e+00,-2.000000000000000000e+01,2.000000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,2.487899152016022976e-36
0.000000000000000000e+00,-1.095315143407621316e-35,1.147644200413788508e-35
0.000000000000000000e+00,-1.626734142282137921e-35,2.000000000000000000e+01
-2.151891003425276949e-03,-2.111565651648158237e+00,1.001724798344172562e+01
-1.469515531408305264e-02,-1.784930117716319486e+01,9.896639822050085300e+00
-4.275882557908243286e-36,-2.110848969278918741e+00,2.000000000000000000e+01
-4.975643309335236214e-36,-4.192576947769610207e+00,2.000000000000000000e+01
-6.659250077091630443e-36,-6.202790515385538939e+00,2.000000000000000000e+01
-5.854908648918081415e-36,-8.135700810840384989e+00,2.000000000000000000e+01
-6.487566618640204796e-36,-1.000407651011314591e+01,2.000000000000000000e+01
-6.335602589535674594e-36,-1.187355780817403073e+01,2.000000000000000000e+01
-5.329233547445708920e-36,-1.381585938920814449e+01,2.000000000000000000e+01
-5.298853098510301854e-36,-1.580474451012378090e+01,2.000000000000000000e+01
-3.828564581884599093e-36,-1.788775795186675310e+01,2.000000000000000000e+01
-3.852212491439813143e-36,-2.000000000000000000e+01,1.783764433421529105e+01
-3.320568424287600862e-36,-2.000000000000000000e+01,1.572026387921015633e+01
-1.318615167587552080e-36,-2.000000000000000000e+01,1.370555290128373294e+01
-1.167653156926432021e-37,-2.000000000000000000e+01,1.181599015762275684e+01
6.500691054626500384e-37,-2.000000000000000000e+01,1.000425643743079185e+01
2.671243391415725979e-37,-2.000000000000000000e+01,8.191341376264368535e+00
-1.135937898912071889e-36,-2.000000000000000000e+01,6.294649296007472472e+00
-2.918457492446170041e-36,-2.000000000000000000e+01,4.271066907629725407e+00
-3.485501171372493768e-36,-2.000000000000000000e+01,2.162618584138139788e+00
-4.105039486081877259e-36,-1.788092864257674464e+01,1.641221331446707274e-35
-4.989369577939320192e-36,-1.580202983333095190e+01,1.563834419276740874e-35
-5.586027679370545936e-36,-1.380424206081902661e+01,1.519661553028558191e-35
-6.161857820963086965e-36,-1.187880827790054639e+01,1.523948035790732870e-35
-6.448949863488953097e-36,-1.001977495686180930e+01,1.558438108556608929e-35
-6.367950957824927761e-36,-8.139593224688862705e+00,1.452339644356877306e-35
-5.552142729596838766e-36,-6.207993387962544851e+00,1.682262074721271950e-35
-4.139060823351704280e-36,-4.190651244527753505e+00,1.706260978761142458e-35
-4.612266999206924821e-36,-2.108422935489711936e+00,1.744743769158504814e-35
-3.895073611184189671e-36,-2.735967200340128665e-35,2.161376314208788507e+00
-2.648794217389431165e-36,-3.127649658153959620e-35,4.276284732970409230e+00
-1.979627025812089898e-36,-2.292870548964153134e-35,6.294300670681547416e+00
-1.224017079370313631e-37,-2.869956407437356000e-35,8.196079538589359004e+00
4.522018072912078800e-37,-2.195662462030581344e-35,1.000008016856302717e+01
1.754954468472290835e-37,-2.230164109541306894e-35,1.181319677764739851e+01
-9.998835298615722639e-37,-2.353298112122115748e-35,1.370009921559455535e+01
-2.566636604142806775e-36,-2.445348589292054675e-35,1.572983660900443681e+01
-3.938444642752438925e-36,-2.671005307252107627e-35,1.784230593911614449e+01
7.207244105986498894e-03,-2.000000000000000000e+01,2.000000000000000000e+01
1.008542666816314437e-02,-2.000000000000000000e+01,2.000000000000000000e+01
1.107092442203683191e-02,-2.000000000000000000e+01,2.000000000000000000e+01
4.879174431490440611e-03,-2.000000000000000000e+01,2.000000000000000000e+01
1.458747135920646087e-03,-2.000000000000000000e+01,2.000000000000000000e+01
-1.235366404585747091e-02,-2.000000000000000000e+01,2.000000000000000000e+01
-1.964393129551034178e-02,-2.000000000000000000e+01,2.000000000000000000e+01
-1.314270256300886786e-02,-2.000000000000000000e+01,2.000000000000000000e+01
-7.167874980464006285e-03,-2.000000000000000000e+01,2.000000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,1.784210628036219148e+01
0.000000000000000000e+00,-2.000000000000000000e+01,1.572144270302161395e+01
0.000000000000000000e+00,-2.000000000000000000e+01,1.371489082889597810e+01
0.000000000000000000e+00,-2.000000000000000000e+01,1.181731835085081705e+01
0.000000000000000000e+00,-2.000000000000000000e+01,1.000126090907378718e+01
0.000000000000000000e+00,-2.000000000000000000e+01,8.186772341266200570e+00
0.000000000000000000e+00,-2.000000000000000000e+01,6.281012729494430680e+00
0.000000000000000000e+00,-2.000000000000000000e+01,4.274477708896147199e+00
0.000000000000000000e+00,-2.000000000000000000e+01,2.161974892552056549e+00
-6.526443750420440892e-03,-2.000000000000000000e+01,1.622246726453653328e-35
-1.200471334443520277e-02,-2.000000000000000000e+01,2.110938475969850054e-35
-1.212792179638277901e-02,-2.000000000000000000e+01,1.693347419952345416e-35
-6.518667041012449204e-03,-2.000000000000000000e+01,2.139302619657082824e-35
-8.668859985920818190e-04,-2.000000000000000000e+01,1.643774249169263038e-35
6.818328027852871287e-03,-2.000000000000000000e+01,1.651164712615190670e-35
1.126890765935328886e-02,-2.000000000000000000e+01,2.278292513084036052e-35
1.602256576095228979e-02,-2.000000000000000000e+01,2.151479968158381928e-35
8.752590005789873118e-03,-2.000000000000000000e+01,1.740063747691759674e-35
-1.000759309429710697e-02,-3.255687100636460757e-35,1.642456775044363858e-35
