sxx,syy,szz,sxy,sxz,syz,smises
-8.799463358688851267e-02,-1.718833415498206008e-01,-2.809850579949623728e-01,-6.428924793874932729e-03,4.367359055053175038e-02,3.877661385043776180e-04,1.842267513275146484e-01
-9.109151849437220616e-02,-1.749248361250106409e-01,-3.443315822124346504e-01,-1.447382828737747576e-03,1.184268208508405980e-02,2.667428020551751390e-04,2.244010865688323975e-01
-1.391013084650611076e-01,-1.801199746414383907e-01,-3.254070652033465016e-01,1.392544582368683125e-03,2.171220299128964054e-02,-1.263348665080857650e-03,1.737101525068283081e-01
-1.207227801976565318e-01,-2.375765124650272841e-01,-3.747167575635295678e-01,-1.354016702275716647e-02,3.506130649698832591e-02,3.258571610972055277e-02,2.364550083875656128e-01
-1.021418016898813508e-01,-1.535101654057104137e-01,-2.630630100023503837e-01,-3.659091788475079664e-03,7.692940396732821096e-02,-1.658088667795641624e-02,1.971989572048187256e-01
-1.294399486296776702e-01,-2.296861062614367066e-01,-3.136395334461407614e-01,7.203002551972610863e-03,7.830998720138439284e-02,-3.701705698429061386e-02,2.194932252168655396e-01
-1.635285731773644113e-01,-1.391736693220347598e-01,-2.969595015906902891e-01,1.006672709586551966e-02,5.774770667823842484e-03,8.005610830080608226e-03,1.491408795118331909e-01
-1.570450254671429680e-01,-1.275786962777528122e-01,-2.837375914286464074e-01,7.889338211018505700e-03,1.677097434001650162e-03,1.241671818496738362e-02,1.459798663854598999e-01
-1.665661652661398762e-01,-1.347594098480403291e-01,-2.958974614394402902e-01,2.475827856503129594e-03,-5.581800427468129513e-04,5.264863265853796277e-03,1.481699794530868530e-01
-1.642487765277218792e-01,-1.269118875276992187e-01,-2.757180858403392443e-01,5.128881029042297278e-03,6.278816231059333340e-04,1.331789611102060338e-02,1.363582313060760498e-01
-1.587081801503131551e-01,-1.248616210166972051e-01,-2.748214773814049439e-01,6.509762315742969631e-03,5.893717558694913389e-04,1.403109133508262212e-02,1.388406008481979370e-01
-1.579250666452894913e-01,-1.331967264860579869e-01,-2.781376456877175940e-01,6.083641212438109513e-03,9.840151239449211433e-04,5.333372219382191519e-03,1.350351274013519287e-01
-1.523434647876588666e-01,-1.231210487219757954e-01,-2.744709487664508396e-01,2.381766805554089150e-03,2.308291287869593689e-03,5.269866730819511465e-03,1.394784897565841675e-01
-1.420726599587056882e-01,-1.337910484011212708e-01,-2.825794190492890712e-01,-7.816893097961871359e-03,-3.390362532250598259e-03,4.699158318650886214e-03,1.458026021718978882e-01
-1.373300818591891570e-01,-1.697844723079563745e-01,-2.815238213605113504e-01,-4.086393020483657101e-03,9.093678277296093210e-03,-1.935020739483246091e-03,1.321923434734344482e-01
