sxx,syy,szz,sxy,sxz,syz,smises
1.121828304914402469e-01,-1.667412382215894412e-02,1.409416793312294816e-02,-1.422581134215548850e-03,-2.593913800145558612e-02,1.447150951741182088e-03,1.249678581953048706e-01
8.919114119819565589e-02,1.568419152618637236e-02,-1.255700999020761821e-02,6.960552736523696257e-03,-5.499935725270913012e-02,4.531815972213889057e-03,1.325085312128067017e-01
1.497820584513109288e-01,9.373893326119459024e-03,-6.854818609150839515e-04,-7.956429546127997748e-04,-1.682862831827569919e-02,2.496860402736417834e-04,1.485925912857055664e-01
1.145478876330954798e-01,-3.446529369088541239e-02,-6.555284244990862430e-03,7.722483007719202486e-03,-3.841510461841705915e-02,2.678395934612830265e-02,1.599473357200622559e-01
1.840815654227498099e-01,-1.135188699551110958e-02,2.338940287407276220e-03,1.334094063065539154e-02,-4.947387159062312939e-02,-8.886757653826000622e-03,2.093319892883300781e-01
1.804433611904658896e-01,-5.530575351798279471e-02,2.430734905936086931e-03,-1.273069480611975675e-02,-5.734028870709009795e-02,-2.469336099107572249e-02,2.397478818893432617e-01
3.717844233559072231e-01,-2.317209646236276233e-02,-2.866752414502379831e-02,2.522173111430609156e-04,-2.293874812717578565e-04,7.409002980177443153e-03,3.979401290416717529e-01
3.561390430900485127e-01,-1.422979650416814068e-02,-2.356107823687861313e-02,-2.104541273121119174e-04,-1.226670662785574921e-03,1.419459333553178652e-02,3.759325444698333740e-01
3.606294838525151425e-01,-1.070837868325741349e-02,-2.713504167866229166e-02,5.762655713739287065e-04,9.779553716630789723e-04,6.295626659355529724e-03,3.799792826175689697e-01
3.666562781854109110e-01,-1.504765144157149681e-02,-1.569815779509620146e-02,-2.529727315747067658e-03,4.353000122970751735e-03,1.107223979927751678e-02,3.826100528240203857e-01
3.570220838122398765e-01,-1.497720901401961013e-02,-1.788842685630698259e-02,-5.259673621090307956e-03,-1.255553381874520468e-03,9.361352003449032594e-03,3.739325404167175293e-01
3.573543876849034628e-01,-2.101344030768007021e-02,-1.815337509450729025e-02,1.581622079322705932e-03,3.846972394985901018e-04,4.326889514038609851e-03,3.770309686660766602e-01
3.515844775860474947e-01,-1.060546275858473275e-02,-1.914462859951884810e-02,-1.408918917129004574e-03,-8.281105654149842940e-05,4.339240747940267297e-03,3.666193187236785889e-01
3.452800862139782656e-01,-2.621532516722757666e-02,-2.747226325233373401e-02,7.312944506960593338e-03,7.964257616093094378e-05,2.451593387982962230e-04,3.723412454128265381e-01
3.484882133332640741e-01,-2.776280074825651645e-02,-3.935772534364551101e-02,9.118237572527867086e-04,-3.572736032457548769e-03,3.353154239259995614e-03,3.822779059410095215e-01
3.359839300650586669e-01,-2.121476180549619617e-02,-2.495975710300821215e-02,7.833485198830853966e-03,5.718539047828051329e-03,1.696903842930674519e-03,3.594905734062194824e-01
3.476677745152575993e-01,-1.831621162736338237e-02,-2.682268741289375868e-02,1.357208742159150480e-02,-6.732608467070218391e-04,2.319162358090039004e-03,3.710794746875762939e-01
3.261594289330341234e-01,-2.507490139464002565e-02,-2.429529048368023192e-02,-3.193147120231014727e-03,3.163362466153541298e-04,5.961481294485166966e-04,3.508907258510589600e-01
3.416136840092722782e-01,-2.454474412713125719e-02,-2.640374466648767737e-02,6.971915733903745471e-03,2.276627212693493711e-03,-1.532482480403876777e-03,3.673207759857177734e-01
3.675814124926995996e-01,-2.677015748299257925e-02,-3.180804241190668402e-02,3.367500407692007591e-02,2.388368588103383441e-02,3.142752060480522025e-03,4.033214449882507324e-01
3.484626439156616184e-01,-3.528593401293336762e-02,-2.925833653492385111e-02,1.587677836948726481e-04,1.273611634384352572e-03,-2.250926788461714203e-03,3.807969987392425537e-01
3.362859105920543157e-01,-2.459669562121610809e-02,-2.379435290272668979e-02,7.783480375788931829e-03,5.346240516753975047e-03,-1.766404043992199921e-03,3.608659207820892334e-01
3.012695230876208941e-01,-2.359922770713018814e-02,-2.731860074497929891e-02,1.621990435610548521e-03,4.589431971199656873e-02,1.287782891634915976e-03,3.362938761711120605e-01
3.463304965605542018e-01,-2.590918569294559104e-02,-2.712881493256680265e-02,2.553594799657114573e-03,-1.385661035707602727e-03,-7.682896013290735739e-04,3.728873133659362793e-01
3.591545563505795791e-01,-2.219666887998791860e-02,-2.046269627062025087e-02,1.361917246425007385e-03,-1.341241320534343169e-03,1.076972063244483260e-02,3.809585571289062500e-01
