ux,uy,uz
3.646874836932430793e-35,2.359668670618798181e-35,1.388734613131650591e-36
2.360199180121556428e-35,2.000000000000000000e+01,4.912781952836860450e-36
3.162455825476254719e-35,2.000000000000000000e+01,-5.172603486871560482e-36
3.178227482872744724e-35,3.411851490280776417e-35,-1.363809281206214039e-36
2.000000000000000000e+01,2.000000000000000000e+01,2.884096814903448433e-36
2.000000000000000000e+01,2.000000000000000000e+01,-1.073359675124581403e-36
2.000000000000000000e+01,2.355151047304323355e-35,-4.703296263628571719e-36
2.000000000000000000e+01,3.525099668218895409e-35,5.772273528901304804e-36
1.009477498132663165e+01,2.383326566631292387e+00,-2.493450905623889602e-04
1.005586625901398712e+01,1.762912046849768899e+01,5.237602394344399726e-02
6.280922634638284446e-35,1.977844641399217673e+00,6.760978754566002932e-36
6.293232927342491909e-35,3.962507660498663764e+00,6.643303104330100539e-36
7.094833154166915846e-35,5.961767371938377025e+00,7.191367438929988582e-36
5.541502574007688660e-35,7.978243692133915488e+00,7.902303951609370079e-36
6.052226867002654890e-35,1.000106991039021942e+01,5.883682176211579190e-36
6.303283662925718496e-35,1.202379867491010401e+01,6.250701840454794662e-36
6.236753601830127497e-35,1.404057280924807216e+01,6.303441135480758058e-36
7.085500826597711826e-35,1.604159987401618181e+01,8.603401709434655631e-36
5.869671548441834806e-35,1.802658857930229175e+01,8.130700324967706189e-36
6.340612833595872213e-35,2.000000000000000000e+01,6.448856014453552277e-02
6.927340623972054237e-35,2.000000000000000000e+01,1.095057998477585032e-01
5.461769479478856104e-35,2.000000000000000000e+01,1.149017282572448589e-01
6.484795851717136541e-35,2.000000000000000000e+01,7.250019966335788379e-02
5.772966953802643056e-35,2.000000000000000000e+01,-2.955745444931700064e-04
6.599871267357991523e-35,2.000000000000000000e+01,-7.289345234569788445e-02
5.965277242549017311e-35,2.000000000000000000e+01,-1.146751991975749618e-01
7.284878268898045945e-35,2.000000000000000000e+01,-1.069072636771047358e-01
5.880665384811297111e-35,2.000000000000000000e+01,-6.413744123418556320e-02
6.243352129343826257e-35,1.802571174515347963e+01,-6.928842193437047345e-36
6.291337644900683287e-35,1.603807009512454229e+01,-6.599719582290076533e-36
6.168572107696990635e-35,1.403630698518069053e+01,-6.490585525967985633e-36
5.944832808960482266e-35,1.201847628566684811e+01,-6.416767393725202196e-36
