sxx,syy,szz,sxy,sxz,syz,smises
2.424584781672887712e-01,8.260732560621303344e-01,2.664911253668567070e-02,9.448884063873037864e-02,-2.960924674319922317e-02,3.844763638450216653e-02,7.395800352096557617e-01
2.222067108716382633e-01,7.854682622946687065e-01,-4.325115383971750438e-02,1.429670673157567434e-02,-8.411898042491013083e-02,-7.079520388350080129e-03,7.478269934654235840e-01
3.242494444530070186e-01,7.749194029840920095e-01,1.471586946181596689e-02,6.717449975578373630e-03,-1.992794053828079309e-02,-1.151070812165361050e-02,6.634275913238525391e-01
2.297684963358172794e-01,9.291503375599715620e-01,-2.808919036767426602e-02,6.895217136021447590e-02,-5.555603964326633754e-02,4.133158303022352320e-02,8.744221329689025879e-01
3.364005703969862315e-01,7.594570876680362126e-01,1.792070378638677131e-02,3.812649286593660508e-02,-5.032094501871466063e-02,-2.742521909252157442e-04,6.535280942916870117e-01
3.162143633578870516e-01,9.266412690260056317e-01,1.843406994934215781e-02,2.615116484468475722e-02,-6.027576904323686535e-02,-3.946017422495887682e-03,8.099784255027770996e-01
6.647359493556126431e-01,5.871086651009700397e-01,-2.916957204096681799e-03,-3.894694000198362094e-02,-1.594814529618917773e-02,-4.269701183878810147e-02,6.408908367156982422e-01
6.423274648623440441e-01,5.835758398221646548e-01,1.686374037776161572e-03,-2.714420014597913877e-02,-1.714020845173670066e-02,-3.967844954133931124e-02,6.197168231010437012e-01
6.615134088372456311e-01,5.740212088601625018e-01,-4.429934530609080934e-03,-6.734056412906425614e-03,-1.084382666987628897e-02,-1.576855519938962294e-02,6.277781128883361816e-01
6.621834731984754807e-01,5.842351674573331710e-01,-3.706136303616658356e-03,-7.688139397785879840e-03,-2.553929389867605568e-03,-1.189525853068436854e-02,6.310319304466247559e-01
6.422770756683748861e-01,5.856350058430426220e-01,-4.906531258332569312e-03,-7.766521854142323248e-04,-8.348325517955427003e-03,-7.454318479654616081e-03,6.211076378822326660e-01
6.344798907753834705e-01,6.055512440004839902e-01,-3.333575626336349185e-03,-1.142561077499174363e-02,-8.680766091541742419e-03,-1.349927488495641925e-02,6.247849464416503906e-01
6.369634812464501916e-01,5.733775226094049993e-01,-4.487091750762173259e-03,-3.907626139206330472e-03,-7.373264735831352480e-03,-8.629329454027079641e-03,6.124925017356872559e-01
6.027593228152778870e-01,5.617812402427012630e-01,4.208189401998740919e-03,3.523061230137980449e-02,1.497252749495248635e-02,-1.269877680867082317e-02,5.833481550216674805e-01
6.245758966841843396e-01,6.333661960668360846e-01,-1.208386731176291917e-04,-3.305883713565793171e-03,1.659568108969124243e-03,-1.057576904624439118e-03,6.291732192039489746e-01
5.922045131791719985e-01,5.896046449558244307e-01,-6.870074717305663103e-03,5.398139792719466173e-02,2.083775870679732689e-02,-3.300827729652619502e-02,6.088126897811889648e-01
6.203865489467412786e-01,5.536450882310213206e-01,-7.445568085002352010e-03,4.239805038966615314e-02,1.617356775047835982e-02,-9.872119585118112328e-03,6.026566624641418457e-01
5.768502555965645540e-01,6.148420419302143003e-01,-2.149207716042544902e-03,4.874819278567463221e-02,1.597185094904450542e-02,-2.338346297720349590e-02,6.068078875541687012e-01
5.983787707110918008e-01,5.662126621360479284e-01,4.450916060657450490e-03,3.644692626319877976e-02,1.759286881283910961e-02,-1.635586908912758930e-02,5.834353566169738770e-01
6.475388802138750677e-01,5.442329330727959658e-01,1.088553382433410377e-03,8.824633586700710020e-02,4.711411824968730899e-02,-4.405207140879099231e-02,6.305800676345825195e-01
5.991806628860807393e-01,6.049476654808308984e-01,-3.852844434498126081e-03,3.286193686072443401e-03,3.557220712745576795e-03,-5.742697995027968606e-03,6.060772538185119629e-01
5.921570119516619268e-01,5.966467055080311166e-01,4.309444330457601335e-03,5.309399058906244528e-02,1.975158496559288601e-02,-2.351461410263559759e-02,5.995917320251464844e-01
5.267339454855916037e-01,6.125300931188026876e-01,1.750662596890495415e-04,6.882764874360346175e-02,7.850419591320952073e-02,-6.827850309651574412e-02,6.135864257812500000e-01
6.125623968513218554e-01,5.827815981309266702e-01,7.876364350924480728e-03,2.142524319518212747e-02,1.050310220476565609e-02,-1.141728790796077767e-02,5.921344161033630371e-01
6.352916781142149416e-01,6.100102599078350840e-01,-8.935826552003978129e-04,2.232851730834452958e-02,1.237226528173093927e-02,-1.954348610886504425e-02,6.264087557792663574e-01
6.033809685192772498e-01,5.556128175355551368e-01,-7.088276128006942844e-03,5.268966194879529802e-02,3.750807912397222110e-02,-3.508806454477189640e-02,6.016944646835327148e-01
6.131843418510133370e-01,5.841388862422878248e-01,-4.722799178584480284e-03,2.005276131049127039e-02,1.530767726382045377e-02,-2.275293347658314744e-02,6.067683696746826172e-01
6.367768799339175168e-01,5.733825823110939579e-01,-1.843552302697948342e-03,2.640678084414678148e-02,1.245807571749327908e-02,-2.963396692822746481e-02,6.136465668678283691e-01
6.436068670697795424e-01,5.722238843231901573e-01,-2.680957822902896304e-03,2.372585135484216873e-02,2.546395894342025693e-02,-2.765963933589420110e-02,6.185294389724731445e-01
6.108647346975629722e-01,6.472725070583731366e-01,9.333500524302873469e-03,-6.140496008942273633e-03,3.118406080751006185e-02,-3.220516138709590345e-03,6.229986548423767090e-01
5.585461007640017961e-01,6.609902802127420873e-01,3.081037720453888573e-02,-2.475818904196618042e-02,2.747628575291428260e-02,1.408418184903097170e-02,5.897135734558105469e-01
5.545822401608652141e-01,6.771251987406688988e-01,-1.079844956228154240e-02,8.170737432899523485e-04,1.449820983618664225e-02,1.189642289440692724e-02,6.364060640335083008e-01
5.107405924570701528e-01,6.226650394054671356e-01,3.308066844192814049e-02,1.276395560600965609e-02,-8.229628809813451656e-04,5.489017988363220808e-03,5.428895950317382812e-01
5.158969205421822801e-01,6.816874092036051547e-01,1.425134968318853002e-02,3.096886192850143490e-03,2.950707760333692864e-02,6.511515245965515154e-03,6.042109131813049316e-01
5.353449247089662189e-01,6.790269564446339556e-01,-9.059478661994857518e-03,-8.355457949949770050e-03,6.181125201726442309e-02,8.425846263388775056e-03,6.380643844604492188e-01
5.955693782286313187e-01,6.827998633326287647e-01,4.519386987137058442e-02,1.231831516569771752e-02,5.573986371146684091e-03,-1.733702401209670572e-04,5.992331504821777344e-01
4.635695971853618924e-01,7.322352422196962696e-01,1.385495942689662918e-03,-5.088081949461953010e-03,5.256479882526805814e-02,-1.342278079269738737e-02,6.472060680389404297e-01
5.689207123429322888e-01,6.833065285307082792e-01,1.053213451789675181e-02,1.405614004734325080e-02,7.465551071365528202e-02,-1.302467554594450259e-02,6.376328468322753906e-01
6.321926880199788545e-01,6.046542341277916233e-01,1.663492319525616825e-03,2.019646277077789907e-03,-2.743376968415573054e-03,8.172658193796705425e-03,6.174113750457763672e-01
6.303058395825240634e-01,6.195013849009107787e-01,-5.279223689980461209e-03,-9.026636093317516683e-04,-1.033390029675305315e-03,-1.517495589604722465e-03,6.302622556686401367e-01
6.328248740311048781e-01,6.228108513707141247e-01,1.609389587370080310e-02,-2.585078209003172610e-03,1.357612790503481804e-04,-6.146651464017390855e-03,6.118944883346557617e-01
4.707526909574942797e-01,6.439670667575407847e-01,1.815258538006181421e-02,-1.277357456270432068e-01,-3.513866224175109243e-02,-4.279098159828563855e-03,6.049423813819885254e-01
6.256269927475561765e-01,6.346546539501267681e-01,1.418996533457543840e-01,-7.050156105437733328e-03,-5.848372764675832322e-03,3.132352627654786358e-03,4.885915815830230713e-01
5.285957023796249432e-01,6.103775129556128221e-01,1.366499781068597486e-02,-1.891632433687611414e-01,-7.776731596988166364e-05,-8.276721996805063960e-04,6.490794420242309570e-01
6.152408292870784612e-01,6.232871405392973463e-01,-1.398733782631111922e-02,-7.269232507087560347e-04,-4.061301296710153426e-04,-2.728772734440271155e-03,6.333089470863342285e-01
3.364125043578483076e-01,6.840420710052450559e-01,-7.676048026639165078e-02,-2.273695374503965361e-01,-4.210341350860598991e-02,1.543319632690055669e-02,7.722128629684448242e-01
4.287981199276469368e-01,5.938707141218528829e-01,5.879048546526044472e-03,-2.469856378659440743e-01,-9.594313776692892440e-03,1.967504677788252734e-03,6.776542663574218750e-01
7.206282977943294643e-01,4.814211852965242233e-01,-8.618657845807897733e-03,-2.510964254097217477e-02,1.435201461156949444e-02,-6.060186353744251297e-02,6.542990803718566895e-01
6.618828203100559637e-01,5.527119034423695343e-01,-4.192661912071848906e-03,3.685145790950959156e-03,8.333974799028422489e-03,-4.360033096853198342e-02,6.235469579696655273e-01
6.773767529714891378e-01,5.814366801424237785e-01,-4.742889983162135170e-03,1.732931404437565437e-02,-3.043360514741804898e-03,-3.059737180789531830e-02,6.424845457077026367e-01
6.772411539189369112e-01,4.847627054644962907e-01,-4.643970319462786822e-03,7.463009009338023025e-02,3.418425191552019321e-02,-5.086929163788064812e-02,6.314623951911926270e-01
