ux,uy,uz
6.593124178140352662e-35,-6.303426603975298604e-35,2.000000000000000000e+01
4.258470104150041231e-35,-2.000000000000000000e+01,2.000000000000000000e+01
5.749514262795579546e-35,-2.000000000000000000e+01,7.651351679109898742e-35
5.721928312773248265e-35,-9.131626270686186482e-35,1.899141228363192823e-35
2.000000000000000000e+01,-2.000000000000000000e+01,2.000000000000000000e+01
2.000000000000000000e+01,-2.000000000000000000e+01,1.493127066366046595e-35
2.000000000000000000e+01,-6.336418208773389813e-35,7.027189093388715058e-35
2.000000000000000000e+01,-9.466651595821502738e-35,2.000000000000000000e+01
1.010913530658857340e+01,-7.233241857187477919e-01,1.002823861062058164e+01
1.006082843250685777e+01,-1.924257470001058934e+01,9.871682132079914851e+00
1.127917115957403216e-34,-2.081289648324559316e+00,2.000000000000000000e+01
1.098337423596583656e-34,-4.138735021767571354e+00,2.000000000000000000e+01
1.191656515059314517e-34,-6.147137423574482895e+00,2.000000000000000000e+01
8.925858242818062499e-35,-8.096926470611936821e+00,2.000000000000000000e+01
9.700473298010196705e-35,-1.000361013867331295e+01,2.000000000000000000e+01
1.026208465447816540e-34,-1.191120598519614404e+01,2.000000000000000000e+01
1.058473527981120999e-34,-1.386663337131022011e+01,2.000000000000000000e+01
1.248253697677766967e-34,-1.586221127801838193e+01,2.000000000000000000e+01
1.062085039837064401e-34,-1.791930600616551672e+01,2.000000000000000000e+01
1.153609007833928559e-34,-2.000000000000000000e+01,1.798273135119500665e+01
1.297235519127174081e-34,-2.000000000000000000e+01,1.596420088166602724e+01
1.068643819350548488e-34,-2.000000000000000000e+01,1.395585286001790237e+01
1.321171258909435334e-34,-2.000000000000000000e+01,1.196887600908043225e+01
1.208577148330153466e-34,-2.000000000000000000e+01,9.996136371183405700e+00
1.363195766374725872e-34,-2.000000000000000000e+01,8.026848801129633060e+00
1.178702814877713544e-34,-2.000000000000000000e+01,6.042397439492963152e+00
1.382034421041601801e-34,-2.000000000000000000e+01,4.036225575764047946e+00
1.074930300468931917e-34,-2.000000000000000000e+01,2.023067947883013584e+00
1.126398457760962527e-34,-1.791569806535135356e+01,1.006627665776241083e-34
1.097840973871138251e-34,-1.586014572696392833e+01,9.600138796538670372e-35
1.042160400459610780e-34,-1.385812977774790866e+01,9.406972310149557994e-35
9.662272860530512248e-35,-1.191169073977676973e+01,9.572931157285778938e-35
9.737008044980823034e-35,-1.000742646963357352e+01,9.746775104843889956e-35
1.037369870703707965e-34,-8.095529727865057978e+00,8.953695440737722502e-35
1.047868475230713222e-34,-6.144673896538323632e+00,1.037261618917243456e-34
1.000023682405312323e-34,-4.135671872903386337e+00,1.036235660938133948e-34
1.263300624291341334e-34,-2.077697701720597756e+00,1.055858303381404265e-34
1.153539980516405849e-34,-1.602507556436621877e-34,2.018093736866951371e+00
1.086665732606222322e-34,-1.876045466223422253e-34,4.036740091177153822e+00
1.409809422614816201e-34,-1.420225251141459554e-34,6.045254334331477075e+00
1.108810934389586516e-34,-1.826993150458859491e-34,8.036686108945151119e+00
1.212803563777206583e-34,-1.399806655684008194e-34,1.000379875492810910e+01
1.206693783774019820e-34,-1.407077807115529746e-34,1.197386508003012473e+01
1.186593257058462042e-34,-1.434807138006706142e-34,1.395517177396996544e+01
1.164408417967369069e-34,-1.458002858647932898e-34,1.596377856946429752e+01
1.250701153465290919e-34,-1.559872989297725365e-34,1.797995569697933149e+01
2.019367433093981035e+00,-2.000000000000000000e+01,2.000000000000000000e+01
4.035222604843269778e+00,-2.000000000000000000e+01,2.000000000000000000e+01
6.043265011059391512e+00,-2.000000000000000000e+01,2.000000000000000000e+01
8.029180303806235486e+00,-2.000000000000000000e+01,2.000000000000000000e+01
9.998269924294083566e+00,-2.000000000000000000e+01,2.000000000000000000e+01
1.197014548997522532e+01,-2.000000000000000000e+01,2.000000000000000000e+01
1.395884949987737755e+01,-2.000000000000000000e+01,2.000000000000000000e+01
1.596834688171496630e+01,-2.000000000000000000e+01,2.000000000000000000e+01
1.798446231739728418e+01,-2.000000000000000000e+01,2.000000000000000000e+01
2.000000000000000000e+01,-2.000000000000000000e+01,1.797983790229788781e+01
2.000000000000000000e+01,-2.000000000000000000e+01,1.596208361161085421e+01
2.000000000000000000e+01,-2.000000000000000000e+01,1.396076248361148409e+01
2.000000000000000000e+01,-2.000000000000000000e+01,1.197725076361323637e+01
2.000000000000000000e+01,-2.000000000000000000e+01,1.000655256165074469e+01
2.000000000000000000e+01,-2.000000000000000000e+01,8.031553395594432487e+00
2.000000000000000000e+01,-2.000000000000000000e+01,6.038631678130880864e+00
