sxx,syy,szz,sxy,sxz,syz,smises
1.335699577514699865e-01,4.107925499631840394e-01,1.888581517642265728e-01,3.399193557137539234e-02,-5.490727789138705878e-02,1.398780875279898375e-02,2.787109017372131348e-01
1.130735254212204832e-01,3.657802623939765962e-01,1.856841530666668572e-01,5.672321473244770762e-03,-4.867532191247732343e-02,-1.972023485984489462e-03,2.408315986394882202e-01
2.073154013098275350e-01,4.012750968661250583e-01,2.218942900763070381e-01,2.246701413357401513e-04,-3.332229229661851089e-02,-3.255337140067180585e-03,1.958781778812408447e-01
1.700166769965735236e-01,4.916221315882413068e-01,2.413408951585659934e-01,2.533576845000103453e-02,-5.310992479438124414e-02,-1.040407765829866500e-02,3.103085458278656006e-01
1.724531135463273634e-01,3.647155088653434851e-01,1.540562335789094628e-01,1.600705950972045044e-02,-9.165105947885396342e-02,1.536203441943831752e-02,2.598397731781005859e-01
2.248371041215831978e-01,5.109307824807900467e-01,2.230572378889986718e-01,5.279327711116122259e-04,-9.102151400267372017e-02,2.892683705378704812e-02,3.312519192695617676e-01
3.738942823034474561e-01,3.291174826190855773e-01,1.917959937901050627e-01,-1.984976429152395666e-02,-1.376887718630387739e-02,-2.666641646082483497e-02,1.757698804140090942e-01
3.537197950403009328e-01,3.149804646254745766e-01,1.771323425985446565e-01,-1.496856279236207475e-02,-9.825198158828825357e-03,-2.913458214971804960e-02,1.713220179080963135e-01
3.680971721394351581e-01,3.171224290542783986e-01,1.833784100422269914e-01,-3.427542945525090517e-03,-5.886549938239614942e-03,-1.267093881111375393e-02,1.671056896448135376e-01
3.617754333850286552e-01,3.125255761853104053e-01,1.584814123997646540e-01,-4.113676141719191208e-03,-2.755434507265208319e-03,-1.862152183135486888e-02,1.866966336965560913e-01
3.471842707992865984e-01,3.073615904437618784e-01,1.547978273266372717e-01,-2.572005176829730150e-03,-4.000569864090544603e-03,-1.747784678628577781e-02,1.786654144525527954e-01
3.489604876356370289e-01,3.268664465718510437e-01,1.627949661298514483e-01,-7.711067385746683996e-03,-4.603407358266850546e-03,-1.105261575348385865e-02,1.778792738914489746e-01
3.390018215056757045e-01,2.986253773295531877e-01,1.545229363906695519e-01,-2.512888730986126244e-03,-5.450541961482514852e-03,-9.557021157870757011e-03,1.691040992736816406e-01
3.145172357613927328e-01,2.912247427933140620e-01,1.668816312922632439e-01,1.873499830569677616e-02,1.182376600501362438e-02,-1.199259865938367281e-02,1.442355066537857056e-01
3.411746840642697065e-01,3.573537077904650472e-01,1.684607213870666365e-01,2.365885335059341517e-04,-6.039568397230166662e-03,8.476455953640363436e-04,1.816534399986267090e-01
3.062061412474448296e-01,3.022479599689543717e-01,1.435227828652694271e-01,2.749072921554839358e-02,2.190219550461905418e-02,-2.823174413144300884e-02,1.787037849426269531e-01
3.190230283056592064e-01,2.828386216558261834e-01,1.538620414700930250e-01,2.049546880476393190e-02,1.761832867561603788e-02,-1.826434111402283275e-02,1.606342941522598267e-01
3.110125890575790031e-01,3.226899029136611752e-01,1.622778691069935442e-01,2.582576467710199358e-02,2.307230739241953460e-02,-1.858560989816013254e-02,1.692021787166595459e-01
3.110111636537259416e-01,2.926525923717842037e-01,1.654641492543068026e-01,1.918004588447369541e-02,1.381666000741694697e-02,-1.379273468994311400e-02,1.452445387840270996e-01
3.520201640515905339e-01,2.964842037479091252e-01,1.863644068203806903e-01,4.147408230891104497e-02,2.903544263941475190e-02,-3.480854690386758071e-02,1.806947588920593262e-01
3.208545454524022178e-01,3.247445044691670279e-01,1.698259951847747029e-01,1.750446694111227382e-03,1.929476718328652484e-03,-2.690065101667739496e-03,1.531480252742767334e-01
3.248664146479264270e-01,3.259811752718511091e-01,1.811005835947395171e-01,2.555301731057014331e-02,1.849324626076682271e-02,-1.835748827929228541e-02,1.575626283884048462e-01
2.617652534748273196e-01,3.079297833294877829e-01,1.501016430491921849e-01,3.339298302582265066e-02,5.483271314356829434e-02,-4.307555583535571664e-02,1.941300779581069946e-01
3.347705526029978729e-01,3.171641190764082907e-01,1.833707933107738830e-01,1.137751497805806859e-02,8.990069728447376909e-03,-9.509270611334993267e-03,1.465208232402801514e-01
3.467338283493465179e-01,3.304270735774377243e-01,1.665936329513191261e-01,1.492833065511707177e-02,1.420807194736417936e-02,-2.517767864069889519e-02,1.815346181392669678e-01
3.128918216358563265e-01,2.875897271943360645e-01,1.571622966917713971e-01,2.538490865708086311e-02,2.104273807922691503e-02,-2.104072997118385663e-02,1.598164737224578857e-01
3.234077572164031356e-01,3.059126936062897539e-01,1.551956623391851364e-01,1.091261873332889133e-02,1.088398404534351473e-02,-1.409644378365162813e-02,1.642171591520309448e-01
3.334134566552023893e-01,3.004916689046973621e-01,1.504905555238736370e-01,1.560966119659001373e-02,1.426618962293666436e-02,-2.183438669683438610e-02,1.769018471240997314e-01
3.482699339164764263e-01,3.120656172734980194e-01,1.778028174681460793e-01,1.488625545752374733e-02,2.085697453206459412e-02,-2.076170433868699747e-02,1.657140105962753296e-01
3.298536916172842837e-01,3.586639653708394437e-01,1.595100916302019112e-01,-2.923256559221178424e-03,3.198070214698900404e-02,7.333532021479307293e-04,1.945511847734451294e-01
2.839073778076212085e-01,3.432420412961197376e-01,1.237644066080041405e-01,-1.187778016847302123e-02,4.855149023385390422e-02,1.084312752798367169e-02,2.156759351491928101e-01
2.986423682188353856e-01,3.653178128634718136e-01,1.657163418551897416e-01,-6.068265008206123919e-04,3.222948636032690189e-02,7.440936689078232399e-03,1.850980073213577271e-01
2.814459650136865720e-01,3.331281658193840367e-01,1.970142689263237046e-01,6.041060127918406776e-03,-1.202760688453762515e-03,3.480940105446734319e-03,1.196392551064491272e-01
2.870664293914472753e-01,3.710605895073906813e-01,1.940989924622134877e-01,1.305137892291563170e-03,1.502816138314971503e-02,2.933541824524664270e-03,1.556121706962585449e-01
2.865535256534274544e-01,3.616942918533276874e-01,1.675894210436610909e-01,-5.176798776370826818e-03,5.451479258659227417e-02,7.954537206313831710e-03,1.947394609451293945e-01
3.253971400808193803e-01,3.767348605197274325e-01,1.501598948511614628e-01,8.715577478434342884e-03,4.207350466437116687e-02,-5.479530094001568499e-03,2.190169692039489746e-01
2.553345788054862675e-01,3.862882979863652144e-01,1.721932576382200764e-01,-3.369612003037633641e-03,3.821813253338646188e-02,-1.025823319540092315e-02,1.992000341415405273e-01
3.093624660211951594e-01,3.729776211186092150e-01,1.536409008586966385e-01,9.565113277552838439e-03,7.474718151248704867e-02,-1.275183995396146977e-02,2.360637038946151733e-01
