ux,uy,uz
-6.925603658064985614e-36,-2.153822316522093128e-35,-2.000000000000000000e+01
-4.355447305429508109e-36,-2.000000000000000000e+01,-2.000000000000000000e+01
-5.938504662596274415e-36,-2.000000000000000000e+01,-3.855325832297011135e-35
-5.959944878540850830e-36,-3.122168017076922558e-35,-9.698426368897736997e-36
0.000000000000000000e+00,-2.000000000000000000e+01,-2.000000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,-7.609080089260738996e-36
0.000000000000000000e+00,-2.157182176823480579e-35,-3.548236410388339381e-35
0.000000000000000000e+00,-3.241533944054010592e-35,-2.000000000000000000e+01
-5.372479467617097271e-03,-1.845112825247010591e+00,-9.977410356214530651e+00
1.686008175481035209e-02,-1.822137585359139322e+01,-9.936223181332715981e+00
-1.178195006245289226e-35,-1.985771488090525727e+00,-2.000000000000000000e+01
-1.176105340656481590e-35,-3.978615852785276630e+00,-2.000000000000000000e+01
-1.326200347590861224e-35,-5.981786915852683961e+00,-2.000000000000000000e+01
-1.051467882773401631e-35,-7.992921828120338468e+00,-2.000000000000000000e+01
-1.152506319276541748e-35,-1.000713163005846162e+01,-2.000000000000000000e+01
-1.195044768298633271e-35,-1.201736046844057704e+01,-2.000000000000000000e+01
-1.190961895849117010e-35,-1.402670633079236140e+01,-2.000000000000000000e+01
-1.343152141445762651e-35,-1.602576664075294133e+01,-2.000000000000000000e+01
-1.099648282774700045e-35,-1.801547711234104199e+01,-2.000000000000000000e+01
-1.193745294369761548e-35,-2.000000000000000000e+01,-1.801363686283732690e+01
-1.334427935071496196e-35,-2.000000000000000000e+01,-1.602241879327777241e+01
-1.080754682482332294e-35,-2.000000000000000000e+01,-1.402296152977225141e+01
-1.341953937662918498e-35,-2.000000000000000000e+01,-1.201330011679335819e+01
-1.209670933783369572e-35,-2.000000000000000000e+01,-9.999500114229169512e+00
-1.361689792871930640e-35,-2.000000000000000000e+01,-7.987477326235812747e+00
-1.186354318918387110e-35,-2.000000000000000000e+01,-5.978889330730181584e+00
-1.404401260462083406e-35,-2.000000000000000000e+01,-3.977896691007571039e+00
-1.111051359099768015e-35,-2.000000000000000000e+01,-1.984047427314975964e+00
-1.179883742712499115e-35,-1.801452816195045870e+01,-5.137717013677447567e-35
-1.192035293286997773e-35,-1.602322997391914683e+01,-5.036592802400354834e-35
-1.176087408158916285e-35,-1.402071827202322396e+01,-5.135268437926595913e-35
-1.134051873847346177e-35,-1.201200633449039046e+01,-5.419731492365990527e-35
