sxx,syy,szz,sxy,sxz,syz,smises
2.227274858856611028e-01,-2.619719135685522060e-02,2.997243152182548637e-02,-2.078560668956036962e-03,-5.054786749277535157e-02,3.564098741377679219e-03,2.425960600376129150e-01
1.758349542797688625e-01,3.192803584835193775e-02,-1.770398128742864396e-02,1.329854414754004510e-02,-1.048072771632800881e-01,7.931575538575165105e-03,2.529583275318145752e-01
2.957006326410222541e-01,2.451606712179615899e-02,5.789380574560326620e-03,-1.324370823485061669e-03,-3.417457445655766590e-02,3.348995087870215671e-04,2.871923446655273438e-01
2.243875293431016049e-01,-6.131872016350489035e-02,-9.726804403440765523e-03,1.569844915463453061e-02,-7.477191468970589838e-02,4.831129409903174576e-02,3.066976368427276611e-01
3.684058464389918242e-01,-1.550437592492974470e-02,9.012132818117385424e-03,2.444010709759384531e-02,-9.536442194161481867e-02,-1.611517930879097574e-02,4.104024171829223633e-01
3.602137313760466197e-01,-9.997463304758211211e-02,4.844903007721571009e-03,-2.524382046650307937e-02,-1.112105156672243966e-01,-4.287157831066835262e-02,4.680306911468505859e-01
7.431516317352663270e-01,-4.364949655667491046e-02,-5.361295913750388498e-02,1.953563329720716616e-03,2.227254510677373670e-04,1.353851752489298663e-02,7.921843528747558594e-01
7.107663747766321816e-01,-2.524728174467688602e-02,-4.174526648103954463e-02,6.529601782089257617e-04,-1.884117961721144818e-03,2.500087217937087269e-02,7.456662058830261230e-01
7.190644638358729690e-01,-1.994518348710733191e-02,-4.813971013285972544e-02,1.373285852955530338e-03,2.261012138350414636e-03,1.104071646125051771e-02,7.537592053413391113e-01
7.302025549955093453e-01,-2.616151251850212800e-02,-2.762244813597836135e-02,-4.374521941726059251e-03,7.929343537366302652e-03,1.929574801675591061e-02,7.579951882362365723e-01
7.122974356632754134e-01,-2.582766403630604168e-02,-3.126591493347599671e-02,-9.183176356024407364e-03,-1.915848154758023180e-03,1.652151652481407065e-02,7.415896654129028320e-01
7.135311541705107174e-01,-3.764825030487117807e-02,-3.274046407727440600e-02,3.618941016892634078e-03,1.199076103670616020e-03,7.728419536646644050e-03,7.488863468170166016e-01
7.017816588081929874e-01,-1.810731529026093911e-02,-3.289103141981461476e-02,-2.243061762305177502e-03,3.791657132018728775e-04,7.794104517367594562e-03,7.275294661521911621e-01
6.920120540321824665e-01,-4.740525438431664185e-02,-5.051662824466446322e-02,1.225402995949140608e-02,-7.525613743754145735e-04,8.058329043204933047e-04,7.412842512130737305e-01
6.992165408067645416e-01,-5.383665087209232869e-02,-7.216336207341464415e-02,1.432612522159692429e-03,-6.418991355057628891e-03,5.740315595691876209e-03,7.625316977500915527e-01
6.734292685047518212e-01,-3.788784555878096927e-02,-4.426561274862855777e-02,1.288820823262437285e-02,8.863443059727351900e-03,3.566220657771796386e-03,7.150674462318420410e-01
6.952646231402495047e-01,-3.210734035041334922e-02,-4.818276043935817987e-02,2.310092027868779901e-02,-2.372370826783561266e-03,4.669431950306588558e-03,7.366847991943359375e-01
6.532636029462908223e-01,-4.444419300819715812e-02,-4.319529818520978504e-02,-7.677927216855668160e-03,-1.292053658898503071e-03,1.546819524201215913e-03,6.972197890281677246e-01
6.839048401105286557e-01,-4.386737844094970584e-02,-4.812574661360399797e-02,1.148326390412006924e-02,3.632725693976468148e-03,-2.220132130311407159e-03,7.302188873291015625e-01
7.411910490134889784e-01,-5.117478433114117098e-02,-6.153720185460884173e-02,6.350388476970042495e-02,4.618872211504981840e-02,6.589564758078914758e-03,8.091912865638732910e-01
6.989603750238988500e-01,-6.449165238259493838e-02,-5.495760043989322829e-02,2.701283679811711550e-04,2.114832200764961596e-03,-3.799639282394547037e-03,7.587674856185913086e-01
6.742592961903395299e-01,-4.452105222782942739e-02,-4.336990894724279677e-02,1.328771904172838282e-02,9.202012917190437180e-03,-2.997867555848077615e-03,7.187696099281311035e-01
6.018057670248293523e-01,-4.270293287158843931e-02,-4.774021312767345870e-02,9.540934930179922500e-04,8.569110961318195108e-02,3.218048411842602818e-03,6.638720631599426270e-01
6.937131037515853471e-01,-4.703266798382402247e-02,-4.996844922983822990e-02,3.894821515494276739e-03,-3.394096754245397134e-03,-9.865025510827614506e-04,7.422739267349243164e-01
7.180571553242209859e-01,-4.007515573943690179e-02,-3.710427142208913565e-02,9.747100241896216027e-04,-3.963516486464626655e-03,1.943053467599807280e-02,7.574323415756225586e-01
6.850788420566764625e-01,-4.428060590377119743e-02,-5.147580854266634032e-02,1.799109700163462749e-02,1.794783759965791828e-02,1.739854354612985123e-04,7.343040108680725098e-01
6.946651040558798895e-01,-4.722454653740790209e-02,-4.583414450006295660e-02,3.457829896130017785e-03,7.000548228970357965e-03,1.261331601592003727e-03,7.413220405578613281e-01
7.172648052363030935e-01,-3.577114209390308552e-02,-3.524785690551140993e-02,-1.777554441998876284e-03,-3.448290746042242429e-03,1.322351839884407590e-02,7.531527876853942871e-01
7.266022237705642706e-01,-3.316665208356905925e-02,-5.468964897823677673e-02,-7.270256692911607546e-03,8.402360502801643413e-03,5.772877097006601579e-03,7.710608243942260742e-01
6.829156959519475656e-01,-3.961794229269277601e-02,-6.370461416895104034e-02,-1.582946304744140519e-03,6.521943365323637498e-02,6.152953186836115224e-03,7.435860633850097656e-01
6.127412377086142170e-01,-4.916540939886673844e-02,-3.742186851222123467e-02,-4.477025904968253908e-03,7.014298862015547198e-02,-2.053435097278217755e-03,6.673215627670288086e-01
5.936894946256219274e-01,-2.763934723453634335e-02,-6.033334843775944867e-02,-1.649090347855077182e-03,3.940452600711493586e-02,3.908838861192945498e-03,6.419846415519714355e-01
5.835935848146570626e-01,-4.762123613792421106e-02,-1.485943347843771134e-02,1.267252267733887106e-03,3.662481816795008782e-04,7.595975550213871462e-03,6.156330704689025879e-01
5.492458057538216476e-01,-8.485445496772853202e-03,-3.452362575552683777e-02,3.767120635219404524e-03,4.823714484336200786e-02,7.775927041338618478e-03,5.774676203727722168e-01
5.687600557421493841e-01,-2.771328962560265508e-02,-5.871617090604702716e-02,-1.548428947173334166e-02,1.115149411636358612e-01,4.560044836678220706e-03,6.429015994071960449e-01
6.673310839084353185e-01,-4.704645245489677552e-02,-2.797212753072880753e-02,5.001950936741762950e-03,3.429591344755385240e-02,5.254502352156882952e-03,7.076435089111328125e-01
