ux,uy,uz
-4.919984557255549966e-35,-3.178594486983744135e-35,-2.000000000000000000e+01
-3.175238000633302005e-35,-2.000000000000000000e+01,-2.000000000000000000e+01
-4.267989902742511861e-35,-2.000000000000000000e+01,-5.686794244768207409e-35
-4.279040157805257837e-35,-4.603232070674554742e-35,-1.420075998143181875e-35
-2.000000000000000000e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.117572889535522032e-35
-2.000000000000000000e+01,-3.172932469431121765e-35,-5.232472727831620540e-35
-2.000000000000000000e+01,-4.765823421276358916e-35,-2.000000000000000000e+01
-1.004027964891559677e+01,-4.024407973244232828e+00,-1.000266212810046973e+01
-1.002227012497088943e+01,-1.599762760987706933e+01,-9.974356284831120689e+00
-8.441470003383067844e-35,-1.974870146784759806e+00,-2.000000000000000000e+01
-8.369900652402260925e-35,-3.958071159821475948e+00,-2.000000000000000000e+01
-9.304551520743053656e-35,-5.956711223233191355e+00,-2.000000000000000000e+01
-7.176370735928836908e-35,-7.973668005424521255e+00,-2.000000000000000000e+01
-7.821814455886006105e-35,-1.000192365233258940e+01,-2.000000000000000000e+01
-8.185811730529052350e-35,-1.202871706320685163e+01,-2.000000000000000000e+01
-8.233901018960476667e-35,-1.404467717388795123e+01,-2.000000000000000000e+01
-9.462925597987943995e-35,-1.604437091841604612e+01,-2.000000000000000000e+01
-7.905920614103285373e-35,-1.802671505939539287e+01,-2.000000000000000000e+01
-8.565493604503335040e-35,-2.000000000000000000e+01,-1.802591896669445148e+01
-9.452413095967387666e-35,-2.000000000000000000e+01,-1.604316250471607574e+01
-7.558616620708576490e-35,-2.000000000000000000e+01,-1.404477729897666016e+01
-9.119903078835991210e-35,-2.000000000000000000e+01,-1.202825869891873189e+01
-8.181770610978458943e-35,-2.000000000000000000e+01,-9.999836691182162340e+00
-9.299367273827883793e-35,-2.000000000000000000e+01,-7.972232872307195350e+00
-8.279228935699918958e-35,-2.000000000000000000e+01,-5.956042133784498205e+00
-9.967332263457055945e-35,-2.000000000000000000e+01,-3.957688144028668198e+00
-7.954811059962324426e-35,-2.000000000000000000e+01,-1.974152083398126090e+00
-8.409952172815981917e-35,-1.802657092217403800e+01,-7.538421077567189866e-35
-8.377198044933163857e-35,-1.604306986944332891e+01,-7.322886166865933416e-35
-8.121142231564236925e-35,-1.404304734482630757e+01,-7.358575813500590379e-35
-7.720093112299239062e-35,-1.202545364661153116e+01,-7.691519660495617152e-35
-7.857745390786161925e-35,-9.997147532641802670e+00,-7.823525377592459462e-35
-8.284488809121310603e-35,-7.969670996844831379e+00,-7.153183469610824299e-35
-8.139281642312507774e-35,-5.954250275829148897e+00,-8.021494518407744558e-35
-7.576817949308652839e-35,-3.956593677511263785e+00,-7.884776431528745164e-35
-9.452298219039232291e-35,-1.974458107408042951e+00,-7.892434858317452759e-35
-8.576457732069205798e-35,-8.049779504334507313e-35,-1.973951846985527725e+00
-7.897010341079290163e-35,-9.420906720672927374e-35,-3.957105697598219507e+00
-1.002834427009780164e-34,-7.172065177611333658e-35,-5.955693160746458048e+00
-7.614322789604290052e-35,-9.241476444169798577e-35,-7.971660987965472067e+00
-8.249850786492699281e-35,-7.095923750655216508e-35,-9.999805351677087728e+00
-8.269811043141447542e-35,-7.129325383469141207e-35,-1.202780087877700765e+01
-8.340618565750172789e-35,-7.210933264271631904e-35,-1.404446659176871925e+01
-8.433467455991123153e-35,-7.314623053779019569e-35,-1.604291140112587755e+01
-9.228688722483164995e-35,-7.828893340806836262e-35,-1.802603676829009416e+01
-1.973869705246822814e+00,-2.000000000000000000e+01,-2.000000000000000000e+01
-3.957311326010275909e+00,-2.000000000000000000e+01,-2.000000000000000000e+01
-5.956740465077912106e+00,-2.000000000000000000e+01,-2.000000000000000000e+01
-7.974253975300103825e+00,-2.000000000000000000e+01,-2.000000000000000000e+01
-1.000183282457168232e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-1.202944024939795931e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-1.404527648945679275e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-1.604311946419815271e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-1.802600119276089430e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.802661938735339220e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.604360411111592555e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.404375454320127226e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.202824010287601375e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.000039894770341498e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-7.972548511869586463e+00
-2.000000000000000000e+01,-2.000000000000000000e+01,-5.955936666315240657e+00
-2.000000000000000000e+01,-2.000000000000000000e+01,-3.956379929125888761e+00
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.974120536809818249e+00
-1.802617226734770739e+01,-2.000000000000000000e+01,-7.341317698271659326e-35
-1.604355052030873807e+01,-2.000000000000000000e+01,-9.448933429198047730e-35
-1.404464868607449723e+01,-2.000000000000000000e+01,-7.436093673596193963e-35
-1.202854586312064633e+01,-2.000000000000000000e+01,-9.269693817011462756e-35
-1.000078811239835197e+01,-2.000000000000000000e+01,-7.084700479535161692e-35
-7.972297474170829901e+00,-2.000000000000000000e+01,-7.096989568764564744e-35
-5.956129735159668925e+00,-2.000000000000000000e+01,-9.875395038738393465e-35
-3.957406345588626362e+00,-2.000000000000000000e+01,-9.413973952365808091e-35
-1.975772708612789197e+00,-2.000000000000000000e+01,-7.847455487300720231e-35
-1.802580514886572161e+01,-9.501450466830559348e-35,-7.387091721102590556e-35
-1.604193234515231836e+01,-7.330307090768425354e-35,-1.046735209121974808e-34
-1.404353685151322928e+01,-9.331249490490206641e-35,-7.316633442601165142e-35
-1.202722589892090355e+01,-8.171373447537367901e-35,-9.256678576919484351e-35
-1.000111926078555058e+01,-7.733987813195115703e-35,-8.097728625782025786e-35
-7.973071508550113151e+00,-8.242339081881733984e-35,-7.175090713884076149e-35
-5.956110568492333002e+00,-8.265350183301801147e-35,-9.353210743894561249e-35
-3.956570893573842174e+00,-7.302857668324891405e-35,-8.020880365596719585e-35
-1.973778597955673009e+00,-7.557352448962242649e-35,-8.389964024762519079e-35
-2.000000000000000000e+01,-1.802599521908323510e+01,-8.643929249010643487e-35
-2.000000000000000000e+01,-1.604270136185720830e+01,-9.716666141559803685e-35
-2.000000000000000000e+01,-1.404433511809716073e+01,-7.649049596817498068e-35
-2.000000000000000000e+01,-1.202932381703189968e+01,-8.207827110912602972e-35
-2.000000000000000000e+01,-1.000158364073150885e+01,-9.234234168438902656e-35
-2.000000000000000000e+01,-7.973328074386484055e+00,-8.286059946166048895e-35
-2.000000000000000000e+01,-5.956620549526769004e+00,-9.583504474613105002e-35
-2.000000000000000000e+01,-3.957632960207604800e+00,-7.725074671910519898e-35
-2.000000000000000000e+01,-1.973895924140711022e+00,-8.173960828728635994e-35
-1.802652897168354329e+01,-9.508019261721200217e-35,-2.000000000000000000e+01
-1.604409249429899376e+01,-7.602694688191551495e-35,-2.000000000000000000e+01
-1.404487388561792116e+01,-9.933665608021486131e-35,-2.000000000000000000e+01
-1.202793879913514807e+01,-7.972389606618397480e-35,-2.000000000000000000e+01
-9.999735818965838519e+00,-8.183501103782773665e-35,-2.000000000000000000e+01
-7.971797966222055720e+00,-9.269902762859400837e-35,-2.000000000000000000e+01
-5.956403609648563524e+00,-7.786461015620782420e-35,-2.000000000000000000e+01
-3.957392668031918692e+00,-7.887834403294068173e-35,-2.000000000000000000e+01
-1.974615339012619319e+00,-1.044280414338195376e-34,-2.000000000000000000e+01
-2.000000000000000000e+01,-8.380680729387171508e-35,-1.974569098334221007e+00
-2.000000000000000000e+01,-6.749534415943251901e-35,-3.958443746208718750e+00
-2.000000000000000000e+01,-8.504794894746732108e-35,-5.956939088622058343e+00
-2.000000000000000000e+01,-8.251516140554532341e-35,-7.972239831648507469e+00
-2.000000000000000000e+01,-7.247098446666363048e-35,-9.999892065162017118e+00
-2.000000000000000000e+01,-6.978171418747787743e-35,-1.202800747748932864e+01
-2.000000000000000000e+01,-7.159183378926710546e-35,-1.404461490446258054e+01
-2.000000000000000000e+01,-7.484477587553532723e-35,-1.604347026964126499e+01
-2.000000000000000000e+01,-7.912406562145963459e-35,-1.802618461859135479e+01
-2.000000000000000000e+01,-1.973945061963005676e+00,-2.000000000000000000e+01
-2.000000000000000000e+01,-3.956515823400063248e+00,-2.000000000000000000e+01
-2.000000000000000000e+01,-5.955052764930486298e+00,-2.000000000000000000e+01
-2.000000000000000000e+01,-7.971406973465308354e+00,-2.000000000000000000e+01
-2.000000000000000000e+01,-9.999517695982596877e+00,-2.000000000000000000e+01
-2.000000000000000000e+01,-1.202721200728520046e+01,-2.000000000000000000e+01
-2.000000000000000000e+01,-1.404349219985003749e+01,-2.000000000000000000e+01
